Index,PoX Address Hash,PoX Address Version,Signer,Total uSTX,Stacker Address
41,0xc3cb8ea59f47284b6cc42087547280718bd5085a48a3ffcb246b70517a7ea4ca,0x06,0x034bf45a9161d803e880a6af926f236d2fd965aeb672592cd8db5a0ed1396aee1e,6000000000000,
42,0xc3107a644c3d1ffbb0c3c16866b62c85c3f9b7ae4d6b15082a82dbfc19e7dfca,0x06,0x02bdacef92c45642c7475740fcfad4399af206652cc1db220617bfb81f1a6f3d73,5000000000000,
43,0xef8165fee3e6bc21a08e5c6bd7396b4044df742c74700d1117579358d7384e07,0x06,0x02f1d20141d8ea2c4b068bcaa12061f02f0969af9bf326ff25b9178b8150f3e0b8,5000000000000,
44,0xd376a3d4afff886f9634207e1505a550612a11675412152c20c163dbc79a4233,0x06,0x038b1879ce76e0332b6420144abf959479f206c2e64b07dead643e2885136610ed,20000000000000,
45,0xd43b66eb7890b513b66bee9dfc1a92d76f298ede66ccd1fc99109ca0a0d47b4c,0x06,0x038b1879ce76e0332b6420144abf959479f206c2e64b07dead643e2885136610ed,10000000000000,
46,0xb91dcd4465bf47d8d5f3e4a105b65c8f1eb9f6e9,0x04,0x03632c3412fc3db64c4efd21cac47714f2408752c9eeec70c2364f814623da77f4,25000000000000,
47,0x539411737e8de699763b0d319d682b570ff929f227af83f74e5ab46f6934167e,0x06,0x02292037d39e7e86b087935d48364ccc0fab52821b8487a78ee936bd1c1d0cd8d1,3051000000000,
48,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x0302328212d5e430a8a880f8e2365a8f976ee50490ff030c106866c0b789eae91a,150000000000,
49,0xdb14133a9dbb1d0e16b60513453e48b6ff2847a9,0x04,0x02877ce29ba35458b827a6ea18510b9058ae4c30e2c33d288f2982c13497caec6e,114714770499071,
50,0xdb14133a9dbb1d0e16b60513453e48b6ff2847a9,0x04,0x02877ce29ba35458b827a6ea18510b9058ae4c30e2c33d288f2982c13497caec6e,2982769174341,
51,0xdb14133a9dbb1d0e16b60513453e48b6ff2847a9,0x04,0x0302328212d5e430a8a880f8e2365a8f976ee50490ff030c106866c0b789eae91a,2325531962270,
52,0x6a6fd3028928dc578362f12a3ad2f516eb11bd14,0x04,0x038cb1e945144ca7669b0f33656b8379bcb3c17795b4d8665e42dea76eb3f86d2f,120000000000,
53,0x6a6fd3028928dc578362f12a3ad2f516eb11bd14,0x04,0x0268e6f499fca2912488e89fc8b6734cafbe24a4ecbcd3312e4eb27ed8e5cfb4f3,120000000000,
